,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN
0,2022-5-12-22-55-56,RNN,0,1,0,0,0,0,10000,0.9273999929428101,0.8506402373313904,0.2044299989938736,0.3796737492084503,66.59,69.26770708283313,40,25
1,2022-5-12-22-55-56,RNN,0,1,0,0,0,1,10000,0.34299999475479126,0.4316726624965668,10.134191513061523,8.766422271728516,78.49000000000001,82.28291316526611,40,25
2,2022-5-12-22-55-56,RNN,0,1,0,1,0,0,10000,0.7885000109672546,0.8493397235870361,0.48792558908462524,0.3685574233531952,66.59,69.26770708283313,40,25
3,2022-5-12-22-55-56,RNN,0,1,0,1,0,1,10000,0.9588000178337097,0.8479391932487488,0.13457335531711578,0.46182510256767273,78.49000000000001,82.28291316526611,40,25
4,2022-5-12-22-55-56,RNN,0,1,1,0,0,0,10000,0.9218999743461609,0.8522409200668335,0.22375114262104034,0.5666058659553528,66.59,69.26770708283313,40,25
5,2022-5-12-22-55-56,RNN,0,1,1,0,0,1,10000,0.9027000069618225,0.8339335918426514,0.2612810432910919,0.3982587456703186,81.67999999999999,85.12404961984794,40,25
6,2022-5-12-22-55-56,RNN,0,1,1,1,0,0,10000,0.7815999984741211,0.848139226436615,0.5396180152893066,0.37210801243782043,66.59,69.26770708283313,40,25
7,2022-5-12-22-55-56,RNN,0,1,1,1,0,1,10000,0.7871000170707703,0.8342337012290955,0.47558310627937317,0.39342740178108215,81.67999999999999,85.12404961984794,40,25
8,2022-5-12-22-55-56,RNN,1,1,0,0,0,0,10000,0.9722999930381775,0.8497399091720581,0.09742124378681183,0.44485923647880554,66.58,69.29771908763506,40,25
9,2022-5-12-22-55-56,RNN,1,1,0,0,0,1,10000,0.9208999872207642,0.836834728717804,0.20961420238018036,0.6182740926742554,78.66,82.48299319727892,40,25
10,2022-5-12-22-55-56,RNN,1,1,0,1,0,0,10000,0.9246000051498413,0.8509403467178345,0.22166481614112854,0.38037940859794617,66.58,69.29771908763506,40,25
11,2022-5-12-22-55-56,RNN,1,1,0,1,0,1,10000,0.7853999733924866,0.8412364721298218,0.5089762210845947,0.3867660462856293,78.66,82.48299319727892,40,25
12,2022-5-12-22-55-56,RNN,1,1,1,0,0,0,10000,0.9613999724388123,0.8463385105133057,0.1390041708946228,0.4721609950065613,66.58,69.29771908763506,40,25
13,2022-5-12-22-55-56,RNN,1,1,1,0,0,1,10000,0.7791000008583069,0.8357343077659607,0.5195421576499939,0.4807230532169342,81.64,85.19407763105242,40,25
14,2022-5-12-22-55-56,RNN,1,1,1,1,0,0,10000,0.7973999977111816,0.8383353352546692,0.46721351146698,0.3865859806537628,66.58,69.29771908763506,40,25
15,2022-5-12-22-55-56,RNN,1,1,1,1,0,1,10000,0.34299999475479126,0.4316726624965668,10.134200096130371,8.766422271728516,81.64,85.19407763105242,40,25
